datetime,branch,gender,age,nps,csi,loyalty,ces,registration,doctor_consultation,nurse_service,pharmacy_service,laboratory,emergency_response,billing_process,facility_cleanliness,staff_friendliness,waiting_time,improvement_feedback
2025-01-02 02:42:00,Always Healthy Hospital Jakarta,Female,42,10,4,4,5,4,4,4,4,4,5,4,4,4,4,service good
2025-01-20 13:16:00,Always Healthy Hospital Bogor,Male,65,8,3,4,4,4,4,4,3,3,4,3,3,3,3,service good
2025-01-20 13:07:00,Always Healthy Hospital Medan,Female,50,9,4,4,4,4,4,4,4,5,3,4,3,4,4,service good
2025-01-08 02:44:00,Always Healthy Hospital Bogor,Male,36,4,4,5,4,5,4,4,4,3,5,4,4,4,4,service good
2025-01-27 05:52:00,Always Healthy Hospital Jakarta,Female,44,8,4,5,4,4,5,4,4,4,4,3,4,5,4,service good
2025-01-09 18:14:00,Always Healthy Hospital Makassar,Male,26,1,3,3,3,2,4,3,4,3,3,3,3,3,4,improve Registration
2025-01-05 04:25:00,Always Healthy Hospital Denpasar,Female,61,9,4,4,4,4,4,5,4,4,4,4,4,4,4,service good
2025-01-01 17:16:00,Always Healthy Hospital Padang,Male,64,2,4,4,4,5,4,4,4,4,4,4,4,4,4,service good
2025-01-13 20:38:00,Always Healthy Hospital Banjarmasin,Female,55,0,4,4,4,3,4,4,4,4,4,4,4,4,4,service good
2025-01-26 09:08:00,Always Healthy Hospital Padang,Male,57,9,4,3,4,3,3,3,3,3,3,3,3,4,2,improve Waiting Time
2025-01-16 21:26:00,Always Healthy Hospital Semarang,Female,25,1,4,4,3,3,3,4,5,4,2,3,3,4,3,improve Emergency Response
2025-01-29 20:15:00,Always Healthy Hospital Bekasi,Male,46,6,4,3,4,5,4,4,4,4,3,3,4,4,4,service good
2025-01-12 10:03:00,Always Healthy Hospital Bandung,Female,56,8,4,4,4,5,5,4,4,4,5,4,5,4,4,service good
2025-01-27 12:58:00,Always Healthy Hospital Pekanbaru,Male,60,10,5,4,4,4,4,4,5,4,5,4,4,4,4,service good
2025-01-17 01:30:00,Always Healthy Hospital Jakarta,Female,31,9,3,3,4,4,3,3,3,4,3,3,3,3,3,service good
2025-01-27 07:48:00,Always Healthy Hospital Bandung,Male,59,7,4,3,4,3,4,4,3,4,3,2,3,3,4,improve Billing Process
2025-01-25 15:07:00,Always Healthy Hospital Pekanbaru,Female,59,8,4,4,4,4,4,4,4,5,4,3,4,4,3,service good
2025-01-30 14:23:00,Always Healthy Hospital Balikpapan,Male,62,10,5,5,4,5,4,4,4,5,4,4,4,3,4,service good
2025-01-14 18:22:00,Always Healthy Hospital Depok,Female,56,7,4,4,3,4,4,2,3,3,4,3,4,3,3,improve Nurse Service
2025-01-23 05:28:00,Always Healthy Hospital Manado,Male,49,4,3,3,4,4,3,4,3,3,3,4,3,3,4,service good
2025-01-18 07:51:00,Always Healthy Hospital Bandung,Female,65,7,4,4,4,4,4,5,5,5,4,4,4,4,4,service good
2025-01-22 17:28:00,Always Healthy Hospital Semarang,Male,36,3,4,4,4,4,4,3,4,5,3,4,4,3,3,service good
2025-01-02 06:32:00,Always Healthy Hospital Padang,Female,51,9,4,4,4,3,4,5,4,3,4,3,4,5,3,service good
2025-01-30 19:23:00,Always Healthy Hospital Batam,Male,49,9,4,3,4,4,4,3,4,3,3,4,4,4,4,service good
2025-01-25 00:35:00,Always Healthy Hospital Surabaya,Female,61,8,4,5,4,3,4,4,4,3,4,4,4,5,4,service good
2025-01-31 06:35:00,Always Healthy Hospital Batam,Male,55,7,3,2,3,3,3,3,4,3,3,3,3,3,2,improve Waiting Time
2025-01-07 06:51:00,Always Healthy Hospital Bekasi,Female,48,9,4,5,4,5,5,4,4,5,4,3,4,5,4,service good
2025-01-02 20:28:00,Always Healthy Hospital Banjarmasin,Male,54,8,4,3,5,4,5,4,5,4,3,3,5,4,4,service good
2025-01-20 08:23:00,Always Healthy Hospital Tangerang,Female,41,0,3,3,3,4,3,2,2,3,3,3,3,3,3,"improve Nurse Service, Pharmacy Service"
2025-01-18 21:32:00,Always Healthy Hospital Semarang,Male,64,7,4,4,5,5,4,5,4,5,4,4,4,4,4,service good
2025-01-18 11:50:00,Always Healthy Hospital Bandung,Female,65,9,5,5,4,5,3,4,4,4,5,4,4,3,4,service good
2025-01-23 04:01:00,Always Healthy Hospital Padang,Male,45,2,3,3,4,3,3,3,3,3,3,3,4,4,3,service good
2025-01-09 03:38:00,Always Healthy Hospital Bekasi,Female,23,9,4,4,4,4,3,3,4,4,4,4,5,4,4,service good
2025-01-19 04:21:00,Always Healthy Hospital Palembang,Male,55,10,4,4,4,4,4,3,5,4,4,4,4,4,5,service good
2025-01-23 08:44:00,Always Healthy Hospital Palembang,Female,37,10,4,4,4,4,4,4,4,3,4,4,4,3,3,service good
2025-01-30 16:19:00,Always Healthy Hospital Bekasi,Male,46,10,3,3,3,3,3,3,3,3,3,3,4,3,3,service good
2025-01-26 20:38:00,Always Healthy Hospital Balikpapan,Female,32,7,4,4,4,5,4,4,5,4,4,3,3,4,4,service good
2025-01-10 10:41:00,Always Healthy Hospital Bekasi,Male,38,7,4,4,4,4,4,3,4,4,4,3,4,4,3,service good
2025-01-20 15:44:00,Always Healthy Hospital Tangerang,Female,57,2,3,4,4,2,3,4,5,4,4,4,4,4,4,improve Registration
2025-01-10 01:24:00,Always Healthy Hospital Semarang,Male,37,10,5,4,4,4,4,5,4,5,4,4,4,4,4,service good
2025-01-09 15:16:00,Always Healthy Hospital Tangerang,Female,42,8,4,3,4,4,3,4,4,3,3,4,4,4,4,service good
2025-01-20 14:17:00,Always Healthy Hospital Banjarmasin,Male,45,9,4,4,4,3,4,3,4,4,4,4,4,3,4,service good
2025-01-17 16:00:00,Always Healthy Hospital Bekasi,Female,35,7,5,3,4,4,5,4,4,4,4,4,4,4,4,service good
2025-01-05 23:05:00,Always Healthy Hospital Depok,Male,59,8,4,4,3,4,4,5,5,4,4,3,3,4,3,service good
2025-01-18 22:11:00,Always Healthy Hospital Denpasar,Female,53,10,5,4,4,4,3,5,4,4,4,3,5,4,4,service good
2025-01-26 04:36:00,Always Healthy Hospital Manado,Male,22,3,4,4,4,4,5,4,5,4,4,3,4,4,4,service good
2025-01-16 17:55:00,Always Healthy Hospital Palembang,Female,45,4,4,4,3,4,4,3,3,3,3,3,4,4,3,service good
2025-01-14 22:44:00,Always Healthy Hospital Jakarta,Male,60,10,5,5,4,4,4,4,4,5,4,4,4,4,4,service good
2025-01-31 11:49:00,Always Healthy Hospital Palembang,Female,35,10,4,4,5,4,4,3,3,4,4,3,4,5,3,service good
2025-01-29 00:12:00,Always Healthy Hospital Batam,Male,28,4,4,4,4,4,4,4,4,4,3,4,4,3,3,service good
2025-01-24 12:11:00,Always Healthy Hospital Surabaya,Female,28,4,4,4,5,4,4,4,5,4,5,4,4,3,3,service good
2025-01-29 06:03:00,Always Healthy Hospital Semarang,Male,24,10,3,4,4,3,4,3,4,3,3,3,4,4,3,service good
2025-01-18 16:21:00,Always Healthy Hospital Denpasar,Female,38,0,3,4,4,3,4,3,4,3,5,3,3,3,2,improve Waiting Time
2025-01-15 06:07:00,Always Healthy Hospital Yogyakarta,Male,46,10,4,4,3,4,3,5,4,4,5,3,4,4,4,service good
2025-01-10 19:41:00,Always Healthy Hospital Malang,Female,27,10,4,4,4,4,5,3,4,4,4,4,3,4,3,service good
2025-01-31 01:37:00,Always Healthy Hospital Medan,Male,34,2,3,4,4,4,3,3,4,4,3,4,3,3,4,service good
2025-01-12 13:27:00,Always Healthy Hospital Yogyakarta,Female,47,9,4,5,4,4,3,5,4,4,5,4,4,4,4,service good
2025-01-01 18:42:00,Always Healthy Hospital Pekanbaru,Male,49,0,4,4,4,4,4,4,4,3,4,2,3,2,4,"improve Billing Process, Staff Friendliness"
2025-01-06 07:06:00,Always Healthy Hospital Batam,Female,38,1,4,4,4,4,4,4,5,4,4,4,4,4,4,service good
2025-01-09 14:35:00,Always Healthy Hospital Balikpapan,Male,26,10,4,4,4,4,3,4,4,5,5,4,4,4,4,service good
2025-01-29 17:25:00,Always Healthy Hospital Malang,Female,45,9,5,4,4,4,4,5,5,4,3,4,5,4,3,service good
2025-01-24 04:55:00,Always Healthy Hospital Depok,Male,51,7,4,5,4,4,4,5,3,4,4,4,4,4,3,service good
2025-01-25 23:09:00,Always Healthy Hospital Jakarta,Female,38,9,4,4,4,4,4,4,5,4,3,4,4,4,4,service good
2025-01-20 12:35:00,Always Healthy Hospital Depok,Male,56,2,4,4,4,3,3,4,4,4,4,4,4,4,4,service good
2025-01-21 18:49:00,Always Healthy Hospital Semarang,Female,29,4,4,4,4,3,3,4,4,3,4,3,3,4,3,service good
2025-01-29 07:54:00,Always Healthy Hospital Pekanbaru,Male,24,6,4,4,3,4,3,3,4,4,4,4,4,5,4,service good
2025-01-27 03:52:00,Always Healthy Hospital Depok,Female,47,8,5,4,4,5,3,5,5,5,4,4,3,5,5,service good
2025-01-07 17:02:00,Always Healthy Hospital Malang,Male,38,9,3,4,4,3,4,3,3,3,4,3,4,4,3,service good
2025-01-27 06:43:00,Always Healthy Hospital Bogor,Female,42,10,4,4,4,3,4,4,4,4,4,4,5,4,4,service good
2025-01-16 09:42:00,Always Healthy Hospital Banjarmasin,Male,58,10,4,5,4,4,4,4,5,4,5,4,4,4,4,service good
2025-01-15 18:49:00,Always Healthy Hospital Batam,Female,39,9,4,4,4,4,4,3,3,4,4,3,4,4,4,service good
2025-01-21 18:46:00,Always Healthy Hospital Batam,Male,28,6,3,3,4,3,3,4,3,3,2,4,4,4,3,improve Emergency Response
2025-01-02 21:54:00,Always Healthy Hospital Banjarmasin,Female,22,9,5,4,4,4,5,4,4,5,4,4,5,4,4,service good
2025-01-12 03:28:00,Always Healthy Hospital Bandung,Male,30,2,4,4,4,5,4,3,4,4,4,4,3,4,4,service good
2025-01-12 11:27:00,Always Healthy Hospital Bekasi,Female,62,0,4,4,4,4,4,3,4,4,4,3,3,4,3,service good
2025-01-06 14:50:00,Always Healthy Hospital Makassar,Male,62,6,4,4,4,4,4,3,4,4,2,3,3,4,3,improve Emergency Response
2025-01-16 17:27:00,Always Healthy Hospital Banjarmasin,Female,41,9,4,3,4,4,4,4,5,4,4,4,4,4,4,service good
2025-01-31 17:59:00,Always Healthy Hospital Banjarmasin,Male,51,9,4,4,3,3,4,4,4,4,4,3,3,4,4,service good
2025-01-14 18:46:00,Always Healthy Hospital Pekanbaru,Female,56,7,4,4,4,5,5,4,5,4,5,4,5,4,4,service good
2025-01-30 22:45:00,Always Healthy Hospital Balikpapan,Male,39,4,4,3,4,4,4,4,3,4,4,3,4,3,4,service good
2025-01-07 23:51:00,Always Healthy Hospital Padang,Female,45,8,4,4,3,4,4,4,5,3,5,3,4,4,4,service good
2025-01-21 12:54:00,Always Healthy Hospital Bogor,Male,65,1,4,4,4,4,4,3,4,4,4,4,3,3,3,service good
2025-01-21 01:30:00,Always Healthy Hospital Malang,Female,61,8,4,4,4,4,5,4,4,4,4,3,3,4,4,service good
2025-01-18 21:43:00,Always Healthy Hospital Makassar,Male,21,9,4,4,4,4,5,3,4,5,5,4,4,4,4,service good
2025-01-26 12:38:00,Always Healthy Hospital Balikpapan,Female,34,0,4,5,4,4,5,5,4,4,5,4,4,3,4,service good
2025-01-07 11:48:00,Always Healthy Hospital Yogyakarta,Male,32,7,4,3,4,3,4,4,4,4,4,3,4,3,4,service good
2025-01-01 08:15:00,Always Healthy Hospital Yogyakarta,Female,25,9,3,4,4,3,4,4,3,4,4,3,4,4,3,service good
2025-01-01 09:27:00,Always Healthy Hospital Balikpapan,Male,60,10,3,3,3,4,3,3,4,4,3,3,3,4,3,service good
2025-01-24 18:21:00,Always Healthy Hospital Surabaya,Female,54,10,3,4,4,4,3,3,3,3,4,3,4,3,2,improve Waiting Time
2025-01-17 17:57:00,Always Healthy Hospital Semarang,Male,34,8,4,5,4,4,4,5,4,4,4,4,5,3,3,service good
2025-01-20 14:43:00,Always Healthy Hospital Jakarta,Female,55,10,3,4,4,3,3,4,3,3,3,3,3,3,3,service good
2025-01-09 18:29:00,Always Healthy Hospital Depok,Male,26,1,3,3,4,4,3,2,3,4,3,2,4,4,3,"improve Nurse Service, Billing Process"
2025-01-18 15:08:00,Always Healthy Hospital Manado,Female,51,8,3,4,3,4,4,3,3,3,4,3,5,4,3,service good
2025-01-19 09:27:00,Always Healthy Hospital Tangerang,Male,61,9,4,4,4,4,4,4,5,4,4,4,4,4,4,service good
2025-01-07 21:57:00,Always Healthy Hospital Makassar,Female,57,2,4,4,4,4,4,5,4,3,3,3,3,4,4,service good
2025-01-19 13:32:00,Always Healthy Hospital Batam,Male,26,10,4,4,4,4,5,4,3,4,5,3,3,4,4,service good
2025-01-03 13:51:00,Always Healthy Hospital Tangerang,Female,36,8,4,4,4,5,4,4,4,4,4,4,5,4,4,service good
2025-01-23 18:09:00,Always Healthy Hospital Tangerang,Male,32,7,4,4,4,4,4,4,4,4,5,4,5,4,4,service good
2025-01-10 15:03:00,Always Healthy Hospital Semarang,Female,25,9,4,4,3,3,4,4,4,4,4,3,4,4,3,service good
2025-01-29 06:43:00,Always Healthy Hospital Malang,Male,34,5,3,3,4,3,3,2,2,3,3,2,4,4,3,"improve Nurse Service, Pharmacy Service, Billing Process"
2025-01-08 12:48:00,Always Healthy Hospital Semarang,Female,22,9,4,5,5,3,4,4,5,4,4,4,4,5,3,service good
2025-01-20 23:56:00,Always Healthy Hospital Bekasi,Male,57,1,3,3,4,3,3,3,3,3,3,3,4,4,3,service good
2025-01-29 09:46:00,Always Healthy Hospital Semarang,Female,27,8,4,4,4,3,4,3,4,4,3,4,4,4,3,service good
2025-01-12 11:29:00,Always Healthy Hospital Surabaya,Male,61,9,4,4,4,5,5,4,4,4,4,4,4,4,4,service good
2025-01-29 00:57:00,Always Healthy Hospital Semarang,Female,41,7,4,4,4,4,4,3,4,4,4,4,4,3,3,service good
2025-01-13 22:49:00,Always Healthy Hospital Tangerang,Male,34,10,4,4,4,3,3,4,4,4,3,3,4,3,3,service good
2025-01-24 22:30:00,Always Healthy Hospital Pekanbaru,Female,28,8,3,3,4,4,3,3,4,4,4,3,4,4,4,service good
2025-01-12 23:56:00,Always Healthy Hospital Denpasar,Male,31,2,4,4,4,5,4,4,4,4,4,4,3,5,4,service good
2025-01-29 00:57:00,Always Healthy Hospital Jakarta,Female,57,10,3,4,3,3,3,3,4,4,3,3,3,2,3,improve Staff Friendliness
2025-01-09 18:15:00,Always Healthy Hospital Bogor,Male,60,7,4,4,4,5,4,5,4,5,5,4,4,4,3,service good
2025-01-29 06:23:00,Always Healthy Hospital Malang,Female,59,6,4,4,4,5,4,4,4,4,5,4,5,3,4,service good
2025-01-22 08:48:00,Always Healthy Hospital Malang,Male,21,9,4,4,4,4,5,4,4,4,4,4,4,4,4,service good
2025-01-29 22:16:00,Always Healthy Hospital Surabaya,Female,31,9,4,4,4,4,3,4,4,4,4,3,3,4,3,service good
2025-01-06 11:05:00,Always Healthy Hospital Malang,Male,54,5,4,4,4,4,4,4,3,4,4,4,4,4,3,service good
2025-01-16 20:50:00,Always Healthy Hospital Yogyakarta,Female,52,6,3,4,4,4,5,4,4,3,4,4,5,4,4,service good
2025-01-12 19:08:00,Always Healthy Hospital Makassar,Male,58,4,4,3,4,4,4,4,4,5,3,3,4,4,3,service good
2025-01-07 12:57:00,Always Healthy Hospital Makassar,Female,30,9,4,3,3,3,4,3,3,4,3,3,5,3,3,service good
2025-01-03 15:15:00,Always Healthy Hospital Manado,Male,46,5,3,3,3,3,3,2,4,3,3,3,3,3,3,improve Nurse Service
2025-01-13 21:06:00,Always Healthy Hospital Tangerang,Female,33,9,4,4,4,4,4,4,4,4,5,4,3,5,4,service good
2025-01-26 04:14:00,Always Healthy Hospital Tangerang,Male,52,8,4,4,4,4,5,4,5,5,4,4,4,4,4,service good
2025-01-17 22:58:00,Always Healthy Hospital Depok,Female,53,3,4,4,4,3,4,3,4,4,5,4,4,4,3,service good
2025-01-19 01:38:00,Always Healthy Hospital Yogyakarta,Male,65,5,3,3,3,3,4,3,3,4,4,3,3,3,3,service good
2025-01-03 22:55:00,Always Healthy Hospital Depok,Female,43,10,4,4,5,4,4,4,4,5,4,5,5,4,4,service good
2025-01-12 11:17:00,Always Healthy Hospital Bandung,Male,33,10,4,4,4,4,5,4,4,4,4,4,4,4,4,service good
2025-01-06 07:33:00,Always Healthy Hospital Padang,Female,62,10,4,4,4,5,5,4,4,4,3,4,4,5,3,service good
2025-01-11 04:43:00,Always Healthy Hospital Malang,Male,25,9,4,4,4,4,4,5,4,4,4,3,4,4,3,service good
2025-01-29 00:28:00,Always Healthy Hospital Bekasi,Female,26,9,4,4,3,3,4,3,3,4,4,3,3,3,3,service good
2025-01-02 03:59:00,Always Healthy Hospital Semarang,Male,58,5,3,4,4,4,4,3,5,3,4,4,5,5,4,service good
2025-01-25 19:48:00,Always Healthy Hospital Surabaya,Female,40,10,4,4,4,4,3,4,4,5,4,3,3,4,4,service good
2025-01-01 05:43:00,Always Healthy Hospital Yogyakarta,Male,24,7,4,4,4,3,4,3,4,4,4,4,4,3,4,service good
2025-01-11 05:09:00,Always Healthy Hospital Bekasi,Female,47,0,3,4,3,3,4,3,3,4,3,3,3,3,4,service good
2025-01-08 01:09:00,Always Healthy Hospital Bekasi,Male,52,9,4,4,4,3,4,3,4,3,4,3,3,4,3,service good
2025-01-08 08:50:00,Always Healthy Hospital Padang,Female,24,5,3,3,3,4,4,4,4,3,5,3,4,4,3,service good
2025-01-20 21:48:00,Always Healthy Hospital Medan,Male,34,10,3,4,4,4,4,4,3,3,5,3,3,3,4,service good
2025-01-30 09:51:00,Always Healthy Hospital Malang,Female,63,9,4,4,4,3,4,3,4,4,3,4,3,4,3,service good
2025-01-06 01:45:00,Always Healthy Hospital Surabaya,Male,28,10,3,3,3,4,4,3,4,3,3,3,4,3,3,service good
2025-01-22 16:11:00,Always Healthy Hospital Makassar,Female,32,9,4,4,4,4,4,4,3,4,4,4,4,4,2,improve Waiting Time
2025-01-22 05:53:00,Always Healthy Hospital Makassar,Male,42,4,3,4,4,3,3,3,4,3,3,3,4,3,4,service good
2025-01-11 09:25:00,Always Healthy Hospital Denpasar,Female,33,5,4,3,4,4,4,4,4,4,4,4,5,3,3,service good
2025-01-19 11:03:00,Always Healthy Hospital Bandung,Male,39,8,3,4,3,4,4,4,3,4,4,3,4,4,4,service good
2025-01-23 02:30:00,Always Healthy Hospital Banjarmasin,Female,34,9,5,5,4,4,5,4,5,5,4,4,5,4,4,service good
2025-01-09 13:12:00,Always Healthy Hospital Balikpapan,Male,54,10,4,4,4,4,4,4,4,5,4,4,4,5,4,service good
2025-01-31 08:35:00,Always Healthy Hospital Medan,Female,26,10,4,4,4,3,4,3,4,3,3,3,3,4,4,service good
2025-01-01 10:11:00,Always Healthy Hospital Depok,Male,29,6,4,3,5,4,4,4,4,4,5,4,4,4,4,service good
2025-01-08 06:54:00,Always Healthy Hospital Bekasi,Female,63,9,3,3,4,4,4,4,4,4,4,4,4,3,3,service good
2025-01-29 17:01:00,Always Healthy Hospital Batam,Male,39,9,4,4,4,4,5,5,3,4,4,4,4,4,4,service good
2025-01-19 11:18:00,Always Healthy Hospital Yogyakarta,Female,65,2,4,4,4,3,4,3,4,3,4,4,3,4,3,service good
2025-01-28 14:46:00,Always Healthy Hospital Surabaya,Male,62,9,3,3,3,4,4,4,4,3,4,3,3,2,4,improve Staff Friendliness
2025-01-01 19:54:00,Always Healthy Hospital Batam,Female,43,10,4,4,4,4,5,4,5,5,3,4,4,4,4,service good
2025-01-07 21:18:00,Always Healthy Hospital Medan,Male,35,7,5,4,4,5,4,4,4,5,5,3,5,4,4,service good
2025-01-27 16:26:00,Always Healthy Hospital Palembang,Female,33,10,4,5,5,4,4,4,5,5,5,5,5,5,4,service good
2025-01-07 07:50:00,Always Healthy Hospital Banjarmasin,Male,55,10,3,4,3,4,3,4,2,3,3,4,4,4,3,improve Pharmacy Service
2025-01-08 13:57:00,Always Healthy Hospital Yogyakarta,Female,22,9,4,5,4,4,4,5,5,5,5,3,3,4,3,service good
2025-01-21 12:12:00,Always Healthy Hospital Jakarta,Male,30,0,3,3,3,4,4,3,4,3,2,3,2,3,3,"improve Emergency Response, Facility Cleanliness"
2025-01-12 04:54:00,Always Healthy Hospital Medan,Female,44,3,3,4,4,4,4,4,3,4,5,4,4,4,4,service good
2025-01-30 01:57:00,Always Healthy Hospital Tangerang,Male,52,9,4,5,4,4,5,4,4,4,4,4,3,3,3,service good
2025-01-21 22:24:00,Always Healthy Hospital Batam,Female,24,9,4,4,4,5,4,4,4,3,3,4,4,4,4,service good
2025-01-07 07:26:00,Always Healthy Hospital Pekanbaru,Male,58,9,4,4,4,3,3,3,4,4,5,4,4,4,4,service good
2025-01-17 14:54:00,Always Healthy Hospital Makassar,Female,39,7,4,4,4,5,4,5,4,3,5,3,4,3,3,service good
2025-01-31 16:01:00,Always Healthy Hospital Banjarmasin,Male,37,1,4,3,4,4,4,3,4,4,3,4,4,3,3,service good
2025-01-02 13:43:00,Always Healthy Hospital Jakarta,Female,35,8,4,4,4,5,4,4,4,5,5,4,5,4,3,service good
2025-01-20 16:29:00,Always Healthy Hospital Denpasar,Male,24,10,5,5,4,4,5,4,3,4,4,4,5,5,4,service good
2025-01-22 22:00:00,Always Healthy Hospital Bogor,Female,57,5,3,4,2,4,4,4,4,4,3,4,3,3,3,service good
2025-01-31 05:44:00,Always Healthy Hospital Manado,Male,48,2,4,4,4,4,4,5,4,5,4,3,4,4,4,service good
2025-01-19 01:22:00,Always Healthy Hospital Surabaya,Female,44,10,4,4,5,4,4,4,3,4,5,4,4,4,4,service good
2025-01-13 04:45:00,Always Healthy Hospital Balikpapan,Male,48,7,5,4,4,4,4,5,4,4,5,4,4,5,4,service good
2025-01-23 09:58:00,Always Healthy Hospital Bogor,Female,27,10,4,4,4,5,5,5,4,4,4,4,3,3,4,service good
2025-01-06 18:04:00,Always Healthy Hospital Pekanbaru,Male,21,9,4,4,2,3,5,4,3,3,4,3,3,4,3,service good
2025-01-21 00:40:00,Always Healthy Hospital Depok,Female,28,9,5,4,4,4,4,5,4,4,5,4,4,4,4,service good
2025-01-14 09:45:00,Always Healthy Hospital Tangerang,Male,35,10,4,5,4,5,5,4,4,5,4,4,5,5,4,service good
2025-01-27 10:14:00,Always Healthy Hospital Surabaya,Female,52,9,3,3,3,4,3,4,4,4,3,3,3,4,3,service good
2025-01-22 17:40:00,Always Healthy Hospital Jakarta,Male,54,10,4,4,4,4,3,3,3,3,3,3,4,4,3,service good
2025-01-17 15:17:00,Always Healthy Hospital Medan,Female,30,7,4,4,4,4,4,3,4,3,5,4,3,4,4,service good
2025-01-20 20:02:00,Always Healthy Hospital Bandung,Male,50,9,4,4,3,3,3,4,4,3,4,4,5,4,3,service good
2025-01-12 03:01:00,Always Healthy Hospital Malang,Female,27,10,4,4,4,3,4,3,5,5,4,3,5,5,4,service good
2025-01-14 23:13:00,Always Healthy Hospital Banjarmasin,Male,26,6,3,4,4,3,4,4,3,4,4,4,5,4,3,service good
2025-01-15 13:48:00,Always Healthy Hospital Manado,Female,54,3,4,4,4,5,5,4,3,5,5,4,4,5,4,service good
2025-01-02 04:52:00,Always Healthy Hospital Yogyakarta,Male,46,9,4,4,3,4,3,3,3,3,4,3,4,3,3,service good
2025-01-26 19:27:00,Always Healthy Hospital Jakarta,Female,57,10,4,4,4,5,5,4,4,5,5,4,3,3,4,service good
2025-01-21 20:23:00,Always Healthy Hospital Depok,Male,64,10,4,4,4,4,4,4,5,4,5,4,4,5,3,service good
2025-01-06 20:23:00,Always Healthy Hospital Batam,Female,37,9,4,4,4,4,5,5,5,5,4,5,5,4,4,service good
2025-01-30 11:09:00,Always Healthy Hospital Tangerang,Male,21,9,4,4,3,4,3,3,4,4,3,3,4,4,3,service good
2025-01-13 08:11:00,Always Healthy Hospital Padang,Female,31,3,4,4,4,5,4,4,5,5,4,4,3,4,4,service good
