Datetime,Branch,Gender,Age,NPS,CSI,Loyalty,CES,Registration,Doctor Consultation,Nurse Service,Pharmacy Service,Laboratory,Emergency Response,Billing Process,Facility Cleanliness,Staff Friendliness,Waiting Time,Improvement_Feedback
26/01/2025 09.08,Always Healthy Hospital Padang,Male,57,9,4,3,4,3,3,3,3,3,3,3,3,4,2,improve Waiting Time
16/01/2025 21.26,Always Healthy Hospital Semarang,Female,25,1,4,4,3,3,3,4,5,4,2,3,3,4,3,improve Emergency Response
29/01/2025 20.15,Always Healthy Hospital Bekasi,Male,46,6,4,3,4,5,4,4,4,4,3,3,4,4,4,service good
12/01/2025 10.03,Always Healthy Hospital Bandung,Female,56,8,4,4,4,5,5,4,4,4,5,4,5,4,4,service good
27/01/2025 12.58,Always Healthy Hospital Pekanbaru,Male,60,10,5,4,4,4,4,4,5,4,5,4,4,4,4,service good
17/01/2025 01.30,Always Healthy Hospital Jakarta,Female,31,9,3,3,4,4,3,3,3,4,3,3,3,3,3,service good
27/01/2025 07.48,Always Healthy Hospital Bandung,Male,59,7,4,3,4,3,4,4,3,4,3,2,3,3,4,improve Billing Process
25/01/2025 15.07,Always Healthy Hospital Pekanbaru,Female,59,8,4,4,4,4,4,4,4,5,4,3,4,4,3,service good
30/01/2025 14.23,Always Healthy Hospital Balikpapan,Male,62,10,5,5,4,5,4,4,4,5,4,4,4,3,4,service good
14/01/2025 18.22,Always Healthy Hospital Depok,Female,56,7,4,4,3,4,4,2,3,3,4,3,4,3,3,improve Nurse Service
23/01/2025 05.28,Always Healthy Hospital Manado,Male,49,4,3,3,4,4,3,4,3,3,3,4,3,3,4,service good
18/01/2025 07.51,Always Healthy Hospital Bandung,Female,65,7,4,4,4,4,4,5,5,5,4,4,4,4,4,service good
22/01/2025 17.28,Always Healthy Hospital Semarang,Male,36,3,4,4,4,4,4,3,4,5,3,4,4,3,3,service good
02/01/2025 06.32,Always Healthy Hospital Padang,Female,51,9,4,4,4,3,4,5,4,3,4,3,4,5,3,service good
30/01/2025 19.23,Always Healthy Hospital Batam,Male,49,9,4,3,4,4,4,3,4,3,3,4,4,4,4,service good
25/01/2025 00.35,Always Healthy Hospital Surabaya,Female,61,8,4,5,4,3,4,4,4,3,4,4,4,5,4,service good
31/01/2025 06.35,Always Healthy Hospital Batam,Male,55,7,3,2,3,3,3,3,4,3,3,3,3,3,2,improve Waiting Time
07/01/2025 06.51,Always Healthy Hospital Bekasi,Female,48,9,4,5,4,5,5,4,4,5,4,3,4,5,4,service good
02/01/2025 20.28,Always Healthy Hospital Banjarmasin,Male,54,8,4,3,5,4,5,4,5,4,3,3,5,4,4,service good
20/01/2025 08.23,Always Healthy Hospital Tangerang,Female,41,0,3,3,3,4,3,2,2,3,3,3,3,3,3,"improve Nurse Service, Pharmacy Service"
18/01/2025 21.32,Always Healthy Hospital Semarang,Male,64,7,4,4,5,5,4,5,4,5,4,4,4,4,4,service good
18/01/2025 11.50,Always Healthy Hospital Bandung,Female,65,9,5,5,4,5,3,4,4,4,5,4,4,3,4,service good
23/01/2025 04.01,Always Healthy Hospital Padang,Male,45,2,3,3,4,3,3,3,3,3,3,3,4,4,3,service good
09/01/2025 03.38,Always Healthy Hospital Bekasi,Female,23,9,4,4,4,4,3,3,4,4,4,4,5,4,4,service good
19/01/2025 04.21,Always Healthy Hospital Palembang,Male,55,10,4,4,4,4,4,3,5,4,4,4,4,4,5,service good
23/01/2025 08.44,Always Healthy Hospital Palembang,Female,37,10,4,4,4,4,4,4,4,3,4,4,4,3,3,service good
30/01/2025 16.19,Always Healthy Hospital Bekasi,Male,46,10,3,3,3,3,3,3,3,3,3,3,4,3,3,service good
26/01/2025 20.38,Always Healthy Hospital Balikpapan,Female,32,7,4,4,4,5,4,4,5,4,4,3,3,4,4,service good
10/01/2025 10.41,Always Healthy Hospital Bekasi,Male,38,7,4,4,4,4,4,3,4,4,4,3,4,4,3,service good
20/01/2025 15.44,Always Healthy Hospital Tangerang,Female,57,2,3,4,4,2,3,4,5,4,4,4,4,4,4,improve Registration
10/01/2025 01.24,Always Healthy Hospital Semarang,Male,37,10,5,4,4,4,4,5,4,5,4,4,4,4,4,service good
09/01/2025 15.16,Always Healthy Hospital Tangerang,Female,42,8,4,3,4,4,3,4,4,3,3,4,4,4,4,service good
20/01/2025 14.17,Always Healthy Hospital Banjarmasin,Male,45,9,4,4,4,3,4,3,4,4,4,4,4,3,4,service good
17/01/2025 16.00,Always Healthy Hospital Bekasi,Female,35,7,5,3,4,4,5,4,4,4,4,4,4,4,4,service good
05/01/2025 23.05,Always Healthy Hospital Depok,Male,59,8,4,4,3,4,4,5,5,4,4,3,3,4,3,service good
18/01/2025 22.11,Always Healthy Hospital Denpasar,Female,53,10,5,4,4,4,3,5,4,4,4,3,5,4,4,service good
26/01/2025 04.36,Always Healthy Hospital Manado,Male,22,3,4,4,4,4,5,4,5,4,4,3,4,4,4,service good
16/01/2025 17.55,Always Healthy Hospital Palembang,Female,45,4,4,4,3,4,4,3,3,3,3,3,4,4,3,service good
14/01/2025 22.44,Always Healthy Hospital Jakarta,Male,60,10,5,5,4,4,4,4,4,5,4,4,4,4,4,service good
31/01/2025 11.49,Always Healthy Hospital Palembang,Female,35,10,4,4,5,4,4,3,3,4,4,3,4,5,3,service good
29/01/2025 00.12,Always Healthy Hospital Batam,Male,28,4,4,4,4,4,4,4,4,4,3,4,4,3,3,service good
24/01/2025 12.11,Always Healthy Hospital Surabaya,Female,28,4,4,4,5,4,4,4,5,4,5,4,4,3,3,service good
29/01/2025 06.03,Always Healthy Hospital Semarang,Male,24,10,3,4,4,3,4,3,4,3,3,3,4,4,3,service good
18/01/2025 16.21,Always Healthy Hospital Denpasar,Female,38,0,3,4,4,3,4,3,4,3,5,3,3,3,2,improve Waiting Time
15/01/2025 06.07,Always Healthy Hospital Yogyakarta,Male,46,10,4,4,3,4,3,5,4,4,5,3,4,4,4,service good
10/01/2025 19.41,Always Healthy Hospital Malang,Female,27,10,4,4,4,4,5,3,4,4,4,4,3,4,3,service good
31/01/2025 01.37,Always Healthy Hospital Medan,Male,34,2,3,4,4,4,3,3,4,4,3,4,3,3,4,service good
12/01/2025 13.27,Always Healthy Hospital Yogyakarta,Female,47,9,4,5,4,4,3,5,4,4,5,4,4,4,4,service good
01/01/2025 18.42,Always Healthy Hospital Pekanbaru,Male,49,0,4,4,4,4,4,4,4,3,4,2,3,2,4,"improve Billing Process, Staff Friendliness"
06/01/2025 07.06,Always Healthy Hospital Batam,Female,38,1,4,4,4,4,4,4,5,4,4,4,4,4,4,service good
09/01/2025 14.35,Always Healthy Hospital Balikpapan,Male,26,10,4,4,4,4,3,4,4,5,5,4,4,4,4,service good
29/01/2025 17.25,Always Healthy Hospital Malang,Female,45,9,5,4,4,4,4,5,5,4,3,4,5,4,3,service good
24/01/2025 04.55,Always Healthy Hospital Depok,Male,51,7,4,5,4,4,4,5,3,4,4,4,4,4,3,service good
25/01/2025 23.09,Always Healthy Hospital Jakarta,Female,38,9,4,4,4,4,4,4,5,4,3,4,4,4,4,service good
20/01/2025 12.35,Always Healthy Hospital Depok,Male,56,2,4,4,4,3,3,4,4,4,4,4,4,4,4,service good
21/01/2025 18.49,Always Healthy Hospital Semarang,Female,29,4,4,4,4,3,3,4,4,3,4,3,3,4,3,service good
29/01/2025 07.54,Always Healthy Hospital Pekanbaru,Male,24,6,4,4,3,4,3,3,4,4,4,4,4,5,4,service good
27/01/2025 03.52,Always Healthy Hospital Depok,Female,47,8,5,4,4,5,3,5,5,5,4,4,3,5,5,service good
07/01/2025 17.02,Always Healthy Hospital Malang,Male,38,9,3,4,4,3,4,3,3,3,4,3,4,4,3,service good
27/01/2025 06.43,Always Healthy Hospital Bogor,Female,42,10,4,4,4,3,4,4,4,4,4,4,5,4,4,service good
16/01/2025 09.42,Always Healthy Hospital Banjarmasin,Male,58,10,4,5,4,4,4,4,5,4,5,4,4,4,4,service good
15/01/2025 18.49,Always Healthy Hospital Batam,Female,39,9,4,4,4,4,4,3,3,4,4,3,4,4,4,service good
21/01/2025 18.46,Always Healthy Hospital Batam,Male,28,6,3,3,4,3,3,4,3,3,2,4,4,4,3,improve Emergency Response
02/01/2025 21.54,Always Healthy Hospital Banjarmasin,Female,22,9,5,4,4,4,5,4,4,5,4,4,5,4,4,service good
12/01/2025 03.28,Always Healthy Hospital Bandung,Male,30,2,4,4,4,5,4,3,4,4,4,4,3,4,4,service good
12/01/2025 11.27,Always Healthy Hospital Bekasi,Female,62,0,4,4,4,4,4,3,4,4,4,3,3,4,3,service good
06/01/2025 14.50,Always Healthy Hospital Makassar,Male,62,6,4,4,4,4,4,3,4,4,2,3,3,4,3,improve Emergency Response
16/01/2025 17.27,Always Healthy Hospital Banjarmasin,Female,41,9,4,3,4,4,4,4,5,4,4,4,4,4,4,service good
31/01/2025 17.59,Always Healthy Hospital Banjarmasin,Male,51,9,4,4,3,3,4,4,4,4,4,3,3,4,4,service good
14/01/2025 18.46,Always Healthy Hospital Pekanbaru,Female,56,7,4,4,4,5,5,4,5,4,5,4,5,4,4,service good
30/01/2025 22.45,Always Healthy Hospital Balikpapan,Male,39,4,4,3,4,4,4,4,3,4,4,3,4,3,4,service good
07/01/2025 23.51,Always Healthy Hospital Padang,Female,45,8,4,4,3,4,4,4,5,3,5,3,4,4,4,service good
21/01/2025 12.54,Always Healthy Hospital Bogor,Male,65,1,4,4,4,4,4,3,4,4,4,4,3,3,3,service good
21/01/2025 01.30,Always Healthy Hospital Malang,Female,61,8,4,4,4,4,5,4,4,4,4,3,3,4,4,service good
18/01/2025 21.43,Always Healthy Hospital Makassar,Male,21,9,4,4,4,4,5,3,4,5,5,4,4,4,4,service good
26/01/2025 12.38,Always Healthy Hospital Balikpapan,Female,34,0,4,5,4,4,5,5,4,4,5,4,4,3,4,service good
07/01/2025 11.48,Always Healthy Hospital Yogyakarta,Male,32,7,4,3,4,3,4,4,4,4,4,3,4,3,4,service good
01/01/2025 08.15,Always Healthy Hospital Yogyakarta,Female,25,9,3,4,4,3,4,4,3,4,4,3,4,4,3,service good
01/01/2025 09.27,Always Healthy Hospital Balikpapan,Male,60,10,3,3,3,4,3,3,4,4,3,3,3,4,3,service good
24/01/2025 18.21,Always Healthy Hospital Surabaya,Female,54,10,3,4,4,4,3,3,3,3,4,3,4,3,2,improve Waiting Time
17/01/2025 17.57,Always Healthy Hospital Semarang,Male,34,8,4,5,4,4,4,5,4,4,4,4,5,3,3,service good
20/01/2025 14.43,Always Healthy Hospital Jakarta,Female,55,10,3,4,4,3,3,4,3,3,3,3,3,3,3,service good
09/01/2025 18.29,Always Healthy Hospital Depok,Male,26,1,3,3,4,4,3,2,3,4,3,2,4,4,3,"improve Nurse Service, Billing Process"
18/01/2025 15.08,Always Healthy Hospital Manado,Female,51,8,3,4,3,4,4,3,3,3,4,3,5,4,3,service good
19/01/2025 09.27,Always Healthy Hospital Tangerang,Male,61,9,4,4,4,4,4,4,5,4,4,4,4,4,4,service good
07/01/2025 21.57,Always Healthy Hospital Makassar,Female,57,2,4,4,4,4,4,5,4,3,3,3,3,4,4,service good
19/01/2025 13.32,Always Healthy Hospital Batam,Male,26,10,4,4,4,4,5,4,3,4,5,3,3,4,4,service good
03/01/2025 13.51,Always Healthy Hospital Tangerang,Female,36,8,4,4,4,5,4,4,4,4,4,4,5,4,4,service good
23/01/2025 18.09,Always Healthy Hospital Tangerang,Male,32,7,4,4,4,4,4,4,4,4,5,4,5,4,4,service good
10/01/2025 15.03,Always Healthy Hospital Semarang,Female,25,9,4,4,3,3,4,4,4,4,4,3,4,4,3,service good
29/01/2025 06.43,Always Healthy Hospital Malang,Male,34,5,3,3,4,3,3,2,2,3,3,2,4,4,3,"improve Nurse Service, Pharmacy Service, Billing Process"
08/01/2025 12.48,Always Healthy Hospital Semarang,Female,22,9,4,5,5,3,4,4,5,4,4,4,4,5,3,service good
20/01/2025 23.56,Always Healthy Hospital Bekasi,Male,57,1,3,3,4,3,3,3,3,3,3,3,4,4,3,service good
29/01/2025 09.46,Always Healthy Hospital Semarang,Female,27,8,4,4,4,3,4,3,4,4,3,4,4,4,3,service good
12/01/2025 11.29,Always Healthy Hospital Surabaya,Male,61,9,4,4,4,5,5,4,4,4,4,4,4,4,4,service good
29/01/2025 00.57,Always Healthy Hospital Semarang,Female,41,7,4,4,4,4,4,3,4,4,4,4,4,3,3,service good
13/01/2025 22.49,Always Healthy Hospital Tangerang,Male,34,10,4,4,4,3,3,4,4,4,3,3,4,3,3,service good
24/01/2025 22.30,Always Healthy Hospital Pekanbaru,Female,28,8,3,3,4,4,3,3,4,4,4,3,4,4,4,service good
12/01/2025 23.56,Always Healthy Hospital Denpasar,Male,31,2,4,4,4,5,4,4,4,4,4,4,3,5,4,service good
29/01/2025 00.57,Always Healthy Hospital Jakarta,Female,57,10,3,4,3,3,3,3,4,4,3,3,3,2,3,improve Staff Friendliness
09/01/2025 18.15,Always Healthy Hospital Bogor,Male,60,7,4,4,4,5,4,5,4,5,5,4,4,4,3,service good
29/01/2025 06.23,Always Healthy Hospital Malang,Female,59,6,4,4,4,5,4,4,4,4,5,4,5,3,4,service good
22/01/2025 08.48,Always Healthy Hospital Malang,Male,21,9,4,4,4,4,5,4,4,4,4,4,4,4,4,service good
29/01/2025 22.16,Always Healthy Hospital Surabaya,Female,31,9,4,4,4,4,3,4,4,4,4,3,3,4,3,service good
06/01/2025 11.05,Always Healthy Hospital Malang,Male,54,5,4,4,4,4,4,4,3,4,4,4,4,4,3,service good
16/01/2025 20.50,Always Healthy Hospital Yogyakarta,Female,52,6,3,4,4,4,5,4,4,3,4,4,5,4,4,service good
12/01/2025 19.08,Always Healthy Hospital Makassar,Male,58,4,4,3,4,4,4,4,4,5,3,3,4,4,3,service good
07/01/2025 12.57,Always Healthy Hospital Makassar,Female,30,9,4,3,3,3,4,3,3,4,3,3,5,3,3,service good
03/01/2025 15.15,Always Healthy Hospital Manado,Male,46,5,3,3,3,3,3,2,4,3,3,3,3,3,3,improve Nurse Service
13/01/2025 21.06,Always Healthy Hospital Tangerang,Female,33,9,4,4,4,4,4,4,4,4,5,4,3,5,4,service good
26/01/2025 04.14,Always Healthy Hospital Tangerang,Male,52,8,4,4,4,4,5,4,5,5,4,4,4,4,4,service good
17/01/2025 22.58,Always Healthy Hospital Depok,Female,53,3,4,4,4,3,4,3,4,4,5,4,4,4,3,service good
19/01/2025 01.38,Always Healthy Hospital Yogyakarta,Male,65,5,3,3,3,3,4,3,3,4,4,3,3,3,3,service good
03/01/2025 22.55,Always Healthy Hospital Depok,Female,43,10,4,4,5,4,4,4,4,5,4,5,5,4,4,service good
12/01/2025 11.17,Always Healthy Hospital Bandung,Male,33,10,4,4,4,4,5,4,4,4,4,4,4,4,4,service good
06/01/2025 07.33,Always Healthy Hospital Padang,Female,62,10,4,4,4,5,5,4,4,4,3,4,4,5,3,service good
11/01/2025 04.43,Always Healthy Hospital Malang,Male,25,9,4,4,4,4,4,5,4,4,4,3,4,4,3,service good
29/01/2025 00.28,Always Healthy Hospital Bekasi,Female,26,9,4,4,3,3,4,3,3,4,4,3,3,3,3,service good
02/01/2025 03.59,Always Healthy Hospital Semarang,Male,58,5,3,4,4,4,4,3,5,3,4,4,5,5,4,service good
25/01/2025 19.48,Always Healthy Hospital Surabaya,Female,40,10,4,4,4,4,3,4,4,5,4,3,3,4,4,service good
01/01/2025 05.43,Always Healthy Hospital Yogyakarta,Male,24,7,4,4,4,3,4,3,4,4,4,4,4,3,4,service good
11/01/2025 05.09,Always Healthy Hospital Bekasi,Female,47,0,3,4,3,3,4,3,3,4,3,3,3,3,4,service good
08/01/2025 01.09,Always Healthy Hospital Bekasi,Male,52,9,4,4,4,3,4,3,4,3,4,3,3,4,3,service good
08/01/2025 08.50,Always Healthy Hospital Padang,Female,24,5,3,3,3,4,4,4,4,3,5,3,4,4,3,service good
20/01/2025 21.48,Always Healthy Hospital Medan,Male,34,10,3,4,4,4,4,4,3,3,5,3,3,3,4,service good
30/01/2025 09.51,Always Healthy Hospital Malang,Female,63,9,4,4,4,3,4,3,4,4,3,4,3,4,3,service good
06/01/2025 01.45,Always Healthy Hospital Surabaya,Male,28,10,3,3,3,4,4,3,4,3,3,3,4,3,3,service good
22/01/2025 16.11,Always Healthy Hospital Makassar,Female,32,9,4,4,4,4,4,4,3,4,4,4,4,4,2,improve Waiting Time
22/01/2025 05.53,Always Healthy Hospital Makassar,Male,42,4,3,4,4,3,3,3,4,3,3,3,4,3,4,service good
11/01/2025 09.25,Always Healthy Hospital Denpasar,Female,33,5,4,3,4,4,4,4,4,4,4,4,5,3,3,service good
19/01/2025 11.03,Always Healthy Hospital Bandung,Male,39,8,3,4,3,4,4,4,3,4,4,3,4,4,4,service good
23/01/2025 02.30,Always Healthy Hospital Banjarmasin,Female,34,9,5,5,4,4,5,4,5,5,4,4,5,4,4,service good
09/01/2025 13.12,Always Healthy Hospital Balikpapan,Male,54,10,4,4,4,4,4,4,4,5,4,4,4,5,4,service good
31/01/2025 08.35,Always Healthy Hospital Medan,Female,26,10,4,4,4,3,4,3,4,3,3,3,3,4,4,service good
01/01/2025 10.11,Always Healthy Hospital Depok,Male,29,6,4,3,5,4,4,4,4,4,5,4,4,4,4,service good
08/01/2025 06.54,Always Healthy Hospital Bekasi,Female,63,9,3,3,4,4,4,4,4,4,4,4,4,3,3,service good
29/01/2025 17.01,Always Healthy Hospital Batam,Male,39,9,4,4,4,4,5,5,3,4,4,4,4,4,4,service good
19/01/2025 11.18,Always Healthy Hospital Yogyakarta,Female,65,2,4,4,4,3,4,3,4,3,4,4,3,4,3,service good
28/01/2025 14.46,Always Healthy Hospital Surabaya,Male,62,9,3,3,3,4,4,4,4,3,4,3,3,2,4,improve Staff Friendliness
01/01/2025 19.54,Always Healthy Hospital Batam,Female,43,10,4,4,4,4,5,4,5,5,3,4,4,4,4,service good
07/01/2025 21.18,Always Healthy Hospital Medan,Male,35,7,5,4,4,5,4,4,4,5,5,3,5,4,4,service good
27/01/2025 16.26,Always Healthy Hospital Palembang,Female,33,10,4,5,5,4,4,4,5,5,5,5,5,5,4,service good
07/01/2025 07.50,Always Healthy Hospital Banjarmasin,Male,55,10,3,4,3,4,3,4,2,3,3,4,4,4,3,improve Pharmacy Service
08/01/2025 13.57,Always Healthy Hospital Yogyakarta,Female,22,9,4,5,4,4,4,5,5,5,5,3,3,4,3,service good
21/01/2025 12.12,Always Healthy Hospital Jakarta,Male,30,0,3,3,3,4,4,3,4,3,2,3,2,3,3,"improve Emergency Response, Facility Cleanliness"
12/01/2025 04.54,Always Healthy Hospital Medan,Female,44,3,3,4,4,4,4,4,3,4,5,4,4,4,4,service good
30/01/2025 01.57,Always Healthy Hospital Tangerang,Male,52,9,4,5,4,4,5,4,4,4,4,4,3,3,3,service good
21/01/2025 22.24,Always Healthy Hospital Batam,Female,24,9,4,4,4,5,4,4,4,3,3,4,4,4,4,service good
07/01/2025 07.26,Always Healthy Hospital Pekanbaru,Male,58,9,4,4,4,3,3,3,4,4,5,4,4,4,4,service good
17/01/2025 14.54,Always Healthy Hospital Makassar,Female,39,7,4,4,4,5,4,5,4,3,5,3,4,3,3,service good
31/01/2025 16.01,Always Healthy Hospital Banjarmasin,Male,37,1,4,3,4,4,4,3,4,4,3,4,4,3,3,service good
02/01/2025 13.43,Always Healthy Hospital Jakarta,Female,35,8,4,4,4,5,4,4,4,5,5,4,5,4,3,service good
20/01/2025 16.29,Always Healthy Hospital Denpasar,Male,24,10,5,5,4,4,5,4,3,4,4,4,5,5,4,service good
22/01/2025 22.00,Always Healthy Hospital Bogor,Female,57,5,3,4,2,4,4,4,4,4,3,4,3,3,3,service good
31/01/2025 05.44,Always Healthy Hospital Manado,Male,48,2,4,4,4,4,4,5,4,5,4,3,4,4,4,service good
19/01/2025 01.22,Always Healthy Hospital Surabaya,Female,44,10,4,4,5,4,4,4,3,4,5,4,4,4,4,service good
13/01/2025 04.45,Always Healthy Hospital Balikpapan,Male,48,7,5,4,4,4,4,5,4,4,5,4,4,5,4,service good
23/01/2025 09.58,Always Healthy Hospital Bogor,Female,27,10,4,4,4,5,5,5,4,4,4,4,3,3,4,service good
06/01/2025 18.04,Always Healthy Hospital Pekanbaru,Male,21,9,4,4,2,3,5,4,3,3,4,3,3,4,3,service good
21/01/2025 00.40,Always Healthy Hospital Depok,Female,28,9,5,4,4,4,4,5,4,4,5,4,4,4,4,service good
14/01/2025 09.45,Always Healthy Hospital Tangerang,Male,35,10,4,5,4,5,5,4,4,5,4,4,5,5,4,service good
27/01/2025 10.14,Always Healthy Hospital Surabaya,Female,52,9,3,3,3,4,3,4,4,4,3,3,3,4,3,service good
22/01/2025 17.40,Always Healthy Hospital Jakarta,Male,54,10,4,4,4,4,3,3,3,3,3,3,4,4,3,service good
17/01/2025 15.17,Always Healthy Hospital Medan,Female,30,7,4,4,4,4,4,3,4,3,5,4,3,4,4,service good
20/01/2025 20.02,Always Healthy Hospital Bandung,Male,50,9,4,4,3,3,3,4,4,3,4,4,5,4,3,service good
12/01/2025 03.01,Always Healthy Hospital Malang,Female,27,10,4,4,4,3,4,3,5,5,4,3,5,5,4,service good
14/01/2025 23.13,Always Healthy Hospital Banjarmasin,Male,26,6,3,4,4,3,4,4,3,4,4,4,5,4,3,service good
15/01/2025 13.48,Always Healthy Hospital Manado,Female,54,3,4,4,4,5,5,4,3,5,5,4,4,5,4,service good
02/01/2025 04.52,Always Healthy Hospital Yogyakarta,Male,46,9,4,4,3,4,3,3,3,3,4,3,4,3,3,service good
26/01/2025 19.27,Always Healthy Hospital Jakarta,Female,57,10,4,4,4,5,5,4,4,5,5,4,3,3,4,service good
21/01/2025 20.23,Always Healthy Hospital Depok,Male,64,10,4,4,4,4,4,4,5,4,5,4,4,5,3,service good
06/01/2025 20.23,Always Healthy Hospital Batam,Female,37,9,4,4,4,4,5,5,5,5,4,5,5,4,4,service good
30/01/2025 11.09,Always Healthy Hospital Tangerang,Male,21,9,4,4,3,4,3,3,4,4,3,3,4,4,3,service good
13/01/2025 08.11,Always Healthy Hospital Padang,Female,31,3,4,4,4,5,4,4,5,5,4,4,3,4,4,service good
04/01/2025 19.57,Always Healthy Hospital Pekanbaru,Male,46,9,4,5,4,4,4,4,5,5,4,4,4,4,5,service good
07/01/2025 17.02,Always Healthy Hospital Manado,Female,58,9,4,3,4,4,4,5,3,3,4,3,4,3,3,service good
20/01/2025 13.30,Always Healthy Hospital Bogor,Male,22,10,3,4,4,4,4,5,4,3,3,4,4,4,4,service good
31/01/2025 10.19,Always Healthy Hospital Pekanbaru,Female,48,10,4,4,4,3,3,5,5,3,4,3,4,3,3,service good
06/01/2025 15.42,Always Healthy Hospital Bekasi,Male,22,6,3,3,3,3,2,3,4,4,3,3,3,3,3,improve Doctor Consultation
07/01/2025 00.50,Always Healthy Hospital Bandung,Female,49,8,4,3,3,3,3,3,3,3,3,3,3,2,2,"improve Staff Friendliness, Waiting Time"
